shipper_id,shipper_company,shipper_vehicle,shipper_experience_years,shipper_rating,delivery_success_rate,average_delivery_time,working_shift,join_date,shipper_name,shipper_phone,shipper_gender,shipper_age,shipper_marital_status,shipper_education,city,region,district
SHP00016,Viettel Post,Truck,6,4.9,96.6,59,Afternoon,2020-01-05,Bùi Văn Trang,926827357,Male,55,Married,High School,Hue,Central,District #25
SHP00017,GHN,Motorbike,11,5.0,98.1,69,Afternoon,2025-08-24,Bùi Thị Hùng,908818611,Female,51,Married,College,Hue,Central,District #20
SHP00018,GHN,Motorbike,7,4.3,98.5,63,Afternoon,2020-08-27,Lê Gia Phong,902541877,Female,52,Single,College,Uong Bi,East,District #11
SHP00019,GHN,Motorbike,2,4.8,96.5,39,Evening,2023-11-03,Đặng Văn Nam,991210929,Female,46,Single,Bachelor,Quy Nhon,Central,District #21
SHP00020,Ninja Van,Van,6,5.0,95.7,57,Afternoon,2025-03-30,Hoàng Đức Giang,903070385,Female,53,Married,High School,Phan Rang-Thap Cham,Central,District #30
SHP00021,GHN,Motorbike,12,4.3,99.7,20,Morning,2023-12-12,Lê Quốc Trang,960718218,Female,48,Married,Bachelor,Tuy Hoa,Central,District #32
SHP00022,Ahamove,Motorbike,7,4.8,99.4,31,Morning,2018-06-29,Lê Thanh Nam,988804431,Male,54,Single,Bachelor,Cam Pha,East,District #19
SHP00023,Shopee Express,Motorbike,6,4.6,95.9,20,Evening,2023-11-06,Bùi Văn Hà,928729869,Male,36,Single,College,Uong Bi,East,District #06
SHP00024,Ninja Van,Van,3,4.5,96.4,71,Evening,2023-07-11,Hoàng Thị Nam,993822938,Female,55,Married,High School,Bac Giang,East,District #15
SHP00025,GHTK,Motorbike,10,4.6,98.6,25,Evening,2021-05-19,Trần Đức Cường,922791841,Male,33,Single,High School,Kon Tum,Central,District #25
SHP00026,Ninja Van,Van,11,4.3,96.0,21,Afternoon,2025-11-16,Nguyễn Thanh Hùng,902981241,Male,37,Single,High School,Lao Cai,East,District #16
SHP00027,Ninja Van,Van,9,4.4,96.8,34,Evening,2018-02-04,Hoàng Thị Giang,902650261,Female,47,Married,High School,Viet Tri,East,District #11
SHP00028,GHTK,Motorbike,8,4.6,98.8,52,Afternoon,2023-06-05,Hoàng Đức Quân,983104398,Male,29,Single,College,Cam Pha,East,District #06
SHP00029,Viettel Post,Truck,8,4.3,98.2,21,Morning,2023-03-28,Võ Quốc Hùng,938481552,Male,36,Single,College,Dong Hoi,Central,District #30
SHP00030,Viettel Post,Truck,4,4.2,96.4,63,Morning,2019-04-11,Hoàng Văn Trang,956294981,Male,46,Single,High School,Da Lat,West,District #33
SHP00031,Viettel Post,Truck,7,4.4,96.0,47,Afternoon,2021-11-19,Lê Thanh Nam,956649092,Female,53,Single,Bachelor,Kon Tum,Central,District #30
SHP00032,BEST Express,Truck,6,4.8,97.1,37,Afternoon,2023-06-14,Đặng Văn Nam,961242116,Female,24,Single,High School,Bac Ninh,East,District #04
SHP00033,J&T Express,Van,9,5.0,99.9,42,Evening,2022-02-07,Võ Gia Giang,996960250,Female,29,Married,High School,Viet Tri,East,District #09
SHP00034,Ninja Van,Van,7,4.7,97.4,58,Evening,2018-08-28,Đặng Thị Vy,983912150,Female,47,Married,College,Nha Trang,Central,District #28
SHP00035,BEST Express,Truck,2,4.7,98.9,74,Morning,2020-05-03,Trần Văn Hùng,986963662,Male,54,Married,High School,Tam Ky,Central,District #32
SHP00036,Ninja Van,Van,3,4.7,96.5,33,Morning,2022-01-21,Phạm Gia An,974640157,Female,34,Single,Bachelor,Nha Trang,Central,District #29
SHP00037,GHN,Motorbike,9,4.3,96.7,70,Morning,2020-07-16,Phạm Quốc Dũng,936758027,Female,40,Single,Bachelor,Quang Ngai,Central,District #21
SHP00038,Ahamove,Motorbike,3,4.4,99.7,23,Evening,2019-10-25,Bùi Quốc Trang,961999001,Female,53,Single,College,Dong Hoi,Central,District #26
SHP00039,Ahamove,Motorbike,8,4.9,97.3,50,Evening,2021-08-03,Phạm Đức Giang,954844436,Female,31,Single,High School,Nam Dinh,East,District #08
SHP00040,Ninja Van,Van,12,4.4,98.9,28,Morning,2023-10-04,Phạm Gia An,938877986,Male,36,Married,High School,Soc Trang,West,District #34
SHP00041,J&T Express,Van,12,4.9,97.6,23,Morning,2023-03-21,Phạm Thị Hà,927179809,Male,38,Married,College,Vinh Long,West,District #36
SHP00042,Ninja Van,Van,7,5.0,99.8,55,Evening,2019-11-02,Nguyễn Quốc Trang,986734203,Male,51,Married,High School,Nha Trang,Central,District #31
SHP00043,Ninja Van,Van,2,4.6,97.0,65,Morning,2021-02-21,Bùi Thị Trang,912757576,Female,38,Married,Bachelor,Soc Trang,West,District #34
SHP00044,Ninja Van,Van,12,5.0,95.3,50,Morning,2018-06-10,Nguyễn Thị Cường,920549207,Female,34,Married,Bachelor,Da Nang,Central,District #21
SHP00045,Ahamove,Motorbike,7,4.8,95.3,42,Evening,2018-01-12,Nguyễn Thanh Giang,995279807,Male,27,Married,Bachelor,Son Tay,East,District #07
SHP00046,GHTK,Motorbike,8,5.0,99.6,62,Afternoon,2023-07-07,Nguyễn Đức Cường,919341832,Male,34,Married,High School,Bac Ninh,East,District #03
SHP00047,Shopee Express,Motorbike,10,4.6,98.3,33,Afternoon,2022-01-09,Phạm Quốc Sơn,926716571,Male,42,Single,High School,Long Xuyen,West,District #35
SHP00048,Shopee Express,Motorbike,9,4.9,98.8,46,Afternoon,2024-12-01,Nguyễn Thị Vy,946448535,Male,51,Married,Bachelor,Bac Lieu,West,District #39
SHP00049,Ahamove,Motorbike,6,4.8,98.0,67,Afternoon,2023-04-11,Đặng Đức Dũng,944279003,Male,24,Married,Bachelor,Vinh Long,West,District #36
SHP00050,GHTK,Motorbike,12,4.4,95.2,37,Morning,2019-05-27,Hoàng Gia Hùng,990945189,Female,49,Single,College,Tuy Hoa,Central,District #24
SHP00051,J&T Express,Van,9,4.6,95.1,67,Afternoon,2019-02-16,Đặng Anh Hà,980366393,Female,42,Single,College,Viet Tri,East,District #15
SHP00052,Ninja Van,Van,4,4.7,99.3,59,Evening,2025-06-27,Phạm Anh Hùng,933172868,Female,38,Married,College,Phu Ly,East,District #04
SHP00053,GHTK,Motorbike,8,4.7,96.8,68,Evening,2018-02-20,Nguyễn Đức Bình,943102331,Female,54,Single,Bachelor,Da Nang,Central,District #30
SHP00054,BEST Express,Truck,9,4.7,97.8,56,Evening,2023-03-14,Nguyễn Quốc Phong,998883340,Female,50,Married,High School,Bac Giang,East,District #01
SHP00055,J&T Express,Van,5,4.2,95.8,46,Morning,2022-09-03,Hoàng Văn Trang,900482857,Female,34,Single,Bachelor,Thai Nguyen,East,District #06
SHP00056,Ninja Van,Van,8,4.9,96.6,21,Morning,2023-12-09,Nguyễn Minh Long,951583055,Male,55,Married,High School,My Tho,West,District #35
SHP00057,GHTK,Motorbike,7,4.6,97.9,53,Evening,2024-02-09,Võ Thị Sơn,937417919,Male,26,Single,Bachelor,Cam Pha,East,District #05
SHP00058,GHN,Motorbike,11,4.6,98.3,37,Evening,2018-02-11,Bùi Thanh Hùng,956897812,Male,39,Married,College,Uong Bi,East,District #07
SHP00059,J&T Express,Van,7,5.0,98.9,50,Evening,2021-05-08,Nguyễn Minh Quân,907366403,Male,55,Single,Bachelor,Bac Lieu,West,District #37
SHP00060,GHTK,Motorbike,11,4.7,95.4,32,Afternoon,2022-11-21,Bùi Thanh Cường,904584927,Male,39,Married,Bachelor,Uong Bi,East,District #03
SHP00061,GHTK,Motorbike,1,4.8,95.1,74,Evening,2019-12-17,Lê Anh Quân,956517585,Male,32,Single,High School,Tam Ky,Central,District #26
SHP00062,Viettel Post,Truck,1,4.3,98.7,69,Morning,2025-12-16,Trần Văn Sơn,954653513,Female,47,Single,Bachelor,Tuy Hoa,Central,District #23
SHP00063,BEST Express,Truck,8,4.6,96.2,26,Evening,2019-04-28,Nguyễn Thanh Vy,922698939,Female,38,Married,Bachelor,Ninh Binh,East,District #14
SHP00064,J&T Express,Van,12,4.8,99.3,48,Afternoon,2018-07-24,Nguyễn Gia Quân,937230018,Male,39,Married,Bachelor,My Tho,West,District #33
SHP00065,Ahamove,Motorbike,2,4.8,97.9,28,Evening,2023-06-24,Nguyễn Quốc Trang,906371317,Male,39,Married,High School,Dong Hoi,Central,District #25
SHP00066,Ninja Van,Van,8,4.6,99.0,59,Morning,2022-08-30,Lê Thị Phong,943623439,Female,49,Married,Bachelor,Hanoi,East,District #01
SHP00067,Viettel Post,Truck,5,4.7,99.0,39,Morning,2023-09-13,Nguyễn Quốc Hà,947066875,Male,47,Single,Bachelor,Phu Ly,East,District #13
SHP00068,Ninja Van,Van,2,4.6,99.8,29,Morning,2025-10-13,Trần Quốc Long,924139334,Male,47,Single,College,Viet Tri,East,District #11
SHP00069,GHN,Motorbike,10,4.5,98.5,31,Morning,2019-01-21,Hoàng Thị Giang,968458783,Female,34,Single,College,Cam Pha,East,District #02
SHP00070,Viettel Post,Truck,9,4.3,99.4,66,Morning,2024-10-29,Phạm Anh Cường,913921412,Female,55,Single,College,Tam Ky,Central,District #21
SHP00071,Ahamove,Motorbike,12,4.7,95.9,26,Afternoon,2023-04-22,Bùi Thị Hà,975678108,Male,34,Married,High School,Nha Trang,Central,District #24
SHP00072,Viettel Post,Truck,12,4.6,99.4,21,Morning,2023-07-02,Trần Đức Hùng,987226165,Male,51,Single,College,Vung Tau,West,District #33
SHP00073,GHTK,Motorbike,8,4.9,98.6,21,Morning,2023-10-28,Phạm Văn Phong,982262009,Female,51,Married,College,Son Tay,East,District #08
SHP00074,Shopee Express,Motorbike,10,4.5,96.8,36,Morning,2022-05-13,Lê Minh Phong,969920920,Female,52,Married,High School,Hoi An,Central,District #20
SHP00075,J&T Express,Van,11,4.3,96.7,52,Afternoon,2024-10-03,Phạm Anh Hùng,989436113,Female,33,Married,Bachelor,My Tho,West,District #38
SHP00076,BEST Express,Truck,10,4.7,95.1,65,Afternoon,2020-09-25,Trần Thanh Long,933140008,Male,29,Married,Bachelor,Ninh Binh,East,District #01
SHP00077,BEST Express,Truck,9,4.7,99.4,41,Morning,2019-11-11,Trần Văn Giang,931398461,Female,38,Married,Bachelor,Quy Nhon,Central,District #23
SHP00078,Shopee Express,Motorbike,11,5.0,96.8,38,Evening,2025-09-25,Đặng Văn Bình,999125359,Female,29,Single,High School,Hoi An,Central,District #25
SHP00079,Shopee Express,Motorbike,11,4.5,95.9,68,Morning,2018-09-09,Đặng Thanh An,993275153,Male,46,Married,Bachelor,Ho Chi Minh City,West,District #35
SHP00080,GHN,Motorbike,11,4.6,95.3,39,Afternoon,2018-03-11,Lê Minh Khánh,944508698,Male,55,Single,Bachelor,Hoi An,Central,District #26
